주 시작일(월),주 종료일(일),페이지그룹,활성사용자,조회수,조회수비중(%),활성사용자당조회수,"평균참여시간(초, 근사)",이탈률(%),전주 대비 인사이트
2026. 7. 20,2026. 7. 26,아카데미 메인,118,210,0.02,1.78,6.1,3.41,⚠ 평균참여시간 -66.3% / ▲ 이탈률 -44.1%
2026. 7. 20,2026. 7. 26,아카데미-개원(opening),10,40,0,4,13.1,16.67,⚠ 평균참여시간 -15.5% / ▲ 활성사용자 +66.7%
2026. 7. 20,2026. 7. 26,아카데미-초음파(ultsound),7,20,0,2.86,29.7,0,⚠ 조회수 -74% / ▲ 평균참여시간 +257.8%
2026. 7. 20,2026. 7. 26,아카데미-법정의무교육(mst),10,21,0,2.1,4.3,9.09,⚠ 이탈률 +81.8%
2026. 7. 20,2026. 7. 26,아카데미-에스테틱(plasur),7,24,0,3.43,15.4,0,▲ 평균참여시간 +352.9%
2026. 7. 20,2026. 7. 26,아카데미-심부전(kshf),3,10,0,3.33,2.8,0,⚠ 평균참여시간 -81.6% / ▲ 조회수 +66.7%
2026. 7. 20,2026. 7. 26,아카데미-임상고혈압(clinicHp),5,8,0,1.6,2.5,0,⚠ 평균참여시간 -79.7% / ▲ 활성사용자 +25%
2026. 7. 20,2026. 7. 26,드럭인포 메인,582,2939,0.25,5.05,2.3,22.26,⚠ 이탈률 +9.2% / ▲ 조회수 +14.3%
2026. 7. 20,2026. 7. 26,브랜드존 메인,1454,7652,0.65,5.26,2.8,10.4,▲ 이탈률 -6.4%
2026. 7. 20,2026. 7. 26,브랜드존 상세(퀴즈 포함),4966,27948,2.39,5.63,23.2,9.49,⚠ 평균참여시간 -11.5% / ▲ 이탈률 -15.9%
2026. 7. 20,2026. 7. 26,알림,1880,13232,1.13,7.04,4.9,8.39,⚠ 평균참여시간 -47.3% / ▲ 조회수 +11.4%
2026. 7. 20,2026. 7. 26,마이페이지홈,1380,4420,0.38,3.2,6.7,7.85,⚠ 평균참여시간 -28% / ▲ 활성사용자 +83%
